"datetime","mrt_station","mrt_flow"
2022-06-03 05:00:00,"松山",0
2022-06-03 06:00:00,"中山",260
2022-06-03 06:00:00,"北投",299
2022-06-03 06:00:00,"北門",89
2022-06-03 06:00:00,"古亭",273
2022-06-03 06:00:00,"士林",314
2022-06-03 06:00:00,"大橋頭",191
2022-06-03 06:00:00,"松山",219
2022-06-03 07:00:00,"中山",337
2022-06-03 07:00:00,"北投",572
2022-06-03 07:00:00,"北門",180
2022-06-03 07:00:00,"古亭",513
2022-06-03 07:00:00,"士林",516
2022-06-03 07:00:00,"大橋頭",365
2022-06-03 07:00:00,"松山",427
2022-06-03 08:00:00,"中山",550
2022-06-03 08:00:00,"北投",727
2022-06-03 08:00:00,"北門",273
2022-06-03 08:00:00,"古亭",832
2022-06-03 08:00:00,"士林",772
2022-06-03 08:00:00,"大橋頭",346
2022-06-03 08:00:00,"松山",509
2022-06-03 09:00:00,"中山",1049
2022-06-03 09:00:00,"北投",871
2022-06-03 09:00:00,"北門",308
2022-06-03 09:00:00,"古亭",1026
2022-06-03 09:00:00,"士林",997
2022-06-03 09:00:00,"大橋頭",459
2022-06-03 09:00:00,"松山",633
2022-06-03 10:00:00,"中山",1711
2022-06-03 10:00:00,"北投",969
2022-06-03 10:00:00,"北門",447
2022-06-03 10:00:00,"古亭",1253
2022-06-03 10:00:00,"士林",1156
2022-06-03 10:00:00,"大橋頭",585
2022-06-03 10:00:00,"松山",677
2022-06-03 11:00:00,"中山",2313
2022-06-03 11:00:00,"北投",940
2022-06-03 11:00:00,"北門",428
2022-06-03 11:00:00,"古亭",1380
2022-06-03 11:00:00,"士林",1258
2022-06-03 11:00:00,"大橋頭",659
2022-06-03 11:00:00,"松山",728
2022-06-03 12:00:00,"中山",2453
2022-06-03 12:00:00,"北投",854
2022-06-03 12:00:00,"北門",398
2022-06-03 12:00:00,"古亭",1284
2022-06-03 12:00:00,"士林",1187
2022-06-03 12:00:00,"大橋頭",570
2022-06-03 12:00:00,"松山",787
2022-06-03 13:00:00,"中山",2918
2022-06-03 13:00:00,"北投",860
2022-06-03 13:00:00,"北門",575
2022-06-03 13:00:00,"古亭",1345
2022-06-03 13:00:00,"士林",1303
2022-06-03 13:00:00,"大橋頭",608
2022-06-03 13:00:00,"松山",758
2022-06-03 14:00:00,"中山",3549
2022-06-03 14:00:00,"北投",952
2022-06-03 14:00:00,"北門",702
2022-06-03 14:00:00,"古亭",1575
2022-06-03 14:00:00,"士林",1439
2022-06-03 14:00:00,"大橋頭",624
2022-06-03 14:00:00,"松山",759
2022-06-03 15:00:00,"中山",3717
2022-06-03 15:00:00,"北投",969
2022-06-03 15:00:00,"北門",737
2022-06-03 15:00:00,"古亭",1423
2022-06-03 15:00:00,"士林",1487
2022-06-03 15:00:00,"大橋頭",716
2022-06-03 15:00:00,"松山",884
2022-06-03 16:00:00,"中山",3820
2022-06-03 16:00:00,"北投",928
2022-06-03 16:00:00,"北門",734
2022-06-03 16:00:00,"古亭",1535
2022-06-03 16:00:00,"士林",1473
2022-06-03 16:00:00,"大橋頭",653
2022-06-03 16:00:00,"松山",889
2022-06-03 17:00:00,"中山",4326
2022-06-03 17:00:00,"北投",1038
2022-06-03 17:00:00,"北門",785
2022-06-03 17:00:00,"古亭",1668
2022-06-03 17:00:00,"士林",1703
2022-06-03 17:00:00,"大橋頭",739
2022-06-03 17:00:00,"松山",1075
2022-06-03 18:00:00,"中山",4287
2022-06-03 18:00:00,"北投",1005
2022-06-03 18:00:00,"北門",704
2022-06-03 18:00:00,"古亭",1667
2022-06-03 18:00:00,"士林",1645
2022-06-03 18:00:00,"大橋頭",762
2022-06-03 18:00:00,"松山",1097
2022-06-03 19:00:00,"中山",3321
2022-06-03 19:00:00,"北投",828
2022-06-03 19:00:00,"北門",603
2022-06-03 19:00:00,"古亭",1208
2022-06-03 19:00:00,"士林",1298
2022-06-03 19:00:00,"大橋頭",624
2022-06-03 19:00:00,"松山",1058
2022-06-03 20:00:00,"中山",2826
2022-06-03 20:00:00,"北投",679
