"datetime","mrt_station","mrt_flow"
2023-11-03 08:00:00,"北投",30
2023-11-03 08:00:00,"北門",5
2023-11-03 08:00:00,"古亭",7
2023-11-03 08:00:00,"士林",10
2023-11-03 08:00:00,"大橋頭",1
2023-11-03 08:00:00,"松山",0
2023-11-03 05:00:00,"中山",0
2023-11-03 05:00:00,"北投",0
2023-11-03 05:00:00,"北門",0
2023-11-03 05:00:00,"古亭",0
2023-11-03 05:00:00,"士林",7
2023-11-03 05:00:00,"大橋頭",0
2023-11-03 05:00:00,"松山",2
2023-11-03 06:00:00,"中山",585
2023-11-03 06:00:00,"北投",1003
2023-11-03 06:00:00,"北門",462
2023-11-03 06:00:00,"古亭",721
2023-11-03 06:00:00,"士林",975
2023-11-03 06:00:00,"大橋頭",504
2023-11-03 06:00:00,"松山",737
2023-11-03 07:00:00,"中山",2237
2023-11-03 07:00:00,"北投",3773
2023-11-03 07:00:00,"北門",2056
2023-11-03 07:00:00,"古亭",3636
2023-11-03 07:00:00,"士林",4539
2023-11-03 07:00:00,"大橋頭",2418
2023-11-03 07:00:00,"松山",3448
2023-11-03 08:00:00,"中山",6420
2023-11-03 08:00:00,"北投",3903
2023-11-03 08:00:00,"北門",3905
2023-11-03 08:00:00,"古亭",7280
2023-11-03 08:00:00,"士林",4538
2023-11-03 08:00:00,"大橋頭",3102
2023-11-03 08:00:00,"松山",7023
2023-11-03 09:00:00,"中山",3942
2023-11-03 09:00:00,"北投",2365
2023-11-03 09:00:00,"北門",1797
2023-11-03 09:00:00,"古亭",4252
2023-11-03 09:00:00,"士林",3592
2023-11-03 09:00:00,"大橋頭",1629
2023-11-03 09:00:00,"松山",3661
2023-11-03 10:00:00,"中山",3757
2023-11-03 10:00:00,"北投",1839
2023-11-03 10:00:00,"北門",1310
2023-11-03 10:00:00,"古亭",2984
2023-11-03 10:00:00,"士林",2589
2023-11-03 10:00:00,"大橋頭",1158
2023-11-03 10:00:00,"松山",1715
2023-11-03 11:00:00,"中山",4374
2023-11-03 11:00:00,"北投",1710
2023-11-03 11:00:00,"北門",1182
2023-11-03 11:00:00,"古亭",2667
2023-11-03 11:00:00,"士林",2576
2023-11-03 11:00:00,"大橋頭",1056
2023-11-03 11:00:00,"松山",1478
2023-11-03 12:00:00,"中山",4943
2023-11-03 12:00:00,"北投",1816
2023-11-03 12:00:00,"北門",1346
2023-11-03 12:00:00,"古亭",3174
2023-11-03 12:00:00,"士林",2956
2023-11-03 12:00:00,"大橋頭",1153
2023-11-03 12:00:00,"松山",1782
2023-11-03 13:00:00,"中山",5006
2023-11-03 13:00:00,"北投",1778
2023-11-03 13:00:00,"北門",1615
2023-11-03 13:00:00,"古亭",3283
2023-11-03 13:00:00,"士林",3203
2023-11-03 13:00:00,"大橋頭",1210
2023-11-03 13:00:00,"松山",1843
2023-11-03 14:00:00,"中山",5151
2023-11-03 14:00:00,"北投",1683
2023-11-03 14:00:00,"北門",1419
2023-11-03 14:00:00,"古亭",2916
2023-11-03 14:00:00,"士林",2841
2023-11-03 14:00:00,"大橋頭",1103
2023-11-03 14:00:00,"松山",1627
2023-11-03 15:00:00,"中山",5317
2023-11-03 15:00:00,"北投",1625
2023-11-03 15:00:00,"北門",1550
2023-11-03 15:00:00,"古亭",2901
2023-11-03 15:00:00,"士林",2960
2023-11-03 15:00:00,"大橋頭",1223
2023-11-03 15:00:00,"松山",1826
2023-11-03 16:00:00,"中山",6469
2023-11-03 16:00:00,"北投",2898
2023-11-03 16:00:00,"北門",2100
2023-11-03 16:00:00,"古亭",4116
2023-11-03 16:00:00,"士林",4375
2023-11-03 16:00:00,"大橋頭",1742
2023-11-03 16:00:00,"松山",2440
2023-11-03 17:00:00,"中山",9331
2023-11-03 17:00:00,"北投",3695
2023-11-03 17:00:00,"北門",3068
2023-11-03 17:00:00,"古亭",6215
2023-11-03 17:00:00,"士林",6438
2023-11-03 17:00:00,"大橋頭",2598
2023-11-03 17:00:00,"松山",4781
2023-11-03 18:00:00,"中山",13393
2023-11-03 18:00:00,"北投",4323
2023-11-03 18:00:00,"北門",4014
2023-11-03 18:00:00,"古亭",8298
2023-11-03 18:00:00,"士林",6941
2023-11-03 18:00:00,"大橋頭",3138
2023-11-03 18:00:00,"松山",8037
2023-11-03 19:00:00,"中山",9288
2023-11-03 19:00:00,"北投",3112
2023-11-03 19:00:00,"北門",2430
2023-11-03 19:00:00,"古亭",4963
2023-11-03 19:00:00,"士林",4484
2023-11-03 19:00:00,"大橋頭",2037
2023-11-03 19:00:00,"松山",6117
2023-11-03 20:00:00,"中山",6622
2023-11-03 20:00:00,"北投",1975
2023-11-03 20:00:00,"北門",1394
2023-11-03 20:00:00,"古亭",3078
2023-11-03 20:00:00,"士林",2855
2023-11-03 20:00:00,"大橋頭",1455
2023-11-03 20:00:00,"松山",3580
2023-11-03 21:00:00,"中山",6702
2023-11-03 21:00:00,"北投",1746
2023-11-03 21:00:00,"北門",1265
2023-11-03 21:00:00,"古亭",3468
2023-11-03 21:00:00,"士林",2728
2023-11-03 21:00:00,"大橋頭",1444
2023-11-03 21:00:00,"松山",3500
2023-11-03 22:00:00,"中山",5804
2023-11-03 22:00:00,"北投",1526
2023-11-03 22:00:00,"北門",1046
2023-11-03 22:00:00,"古亭",2925
2023-11-03 22:00:00,"士林",2128
2023-11-03 22:00:00,"大橋頭",1208
2023-11-03 22:00:00,"松山",2503
2023-11-03 23:00:00,"中山",2175
2023-11-03 23:00:00,"北投",704
2023-11-03 23:00:00,"北門",510
2023-11-03 23:00:00,"古亭",1040
2023-11-03 23:00:00,"士林",836
2023-11-03 23:00:00,"大橋頭",543
2023-11-03 23:00:00,"松山",1294
2023-11-04 09:00:00,"中山",807
2023-11-04 09:00:00,"北投",262
2023-11-04 09:00:00,"北門",249
2023-11-04 09:00:00,"古亭",361
2023-11-04 09:00:00,"士林",348
2023-11-04 09:00:00,"大橋頭",252
2023-11-04 09:00:00,"松山",527
NA,"中山",33
NA,"北投",33
NA,"北門",11
NA,"古亭",11
NA,"士林",5
NA,"大橋頭",3
NA,"松山",2
2023-11-04 05:00:00,"中山",0
2023-11-04 05:00:00,"北投",2
2023-11-04 05:00:00,"北門",0
2023-11-04 05:00:00,"古亭",0
2023-11-04 05:00:00,"士林",7
2023-11-04 05:00:00,"大橋頭",0
2023-11-04 05:00:00,"松山",0
2023-11-04 06:00:00,"中山",452
2023-11-04 06:00:00,"北投",554
2023-11-04 06:00:00,"北門",221
2023-11-04 06:00:00,"古亭",514
2023-11-04 06:00:00,"士林",554
2023-11-04 06:00:00,"大橋頭",476
2023-11-04 06:00:00,"松山",401
2023-11-04 07:00:00,"中山",836
2023-11-04 07:00:00,"北投",1260
2023-11-04 07:00:00,"北門",573
2023-11-04 07:00:00,"古亭",1253
2023-11-04 07:00:00,"士林",1446
2023-11-04 07:00:00,"大橋頭",1078
2023-11-04 07:00:00,"松山",975
2023-11-04 08:00:00,"中山",1747
2023-11-04 08:00:00,"北投",1926
2023-11-04 08:00:00,"北門",936
2023-11-04 08:00:00,"古亭",2731
2023-11-04 08:00:00,"士林",2440
2023-11-04 08:00:00,"大橋頭",1027
2023-11-04 08:00:00,"松山",1323
2023-11-04 09:00:00,"中山",2684
2023-11-04 09:00:00,"北投",2191
2023-11-04 09:00:00,"北門",1110
2023-11-04 09:00:00,"古亭",3035
2023-11-04 09:00:00,"士林",2907
2023-11-04 09:00:00,"大橋頭",1312
2023-11-04 09:00:00,"松山",1484
2023-11-04 10:00:00,"中山",4212
2023-11-04 10:00:00,"北投",2495
2023-11-04 10:00:00,"北門",1441
2023-11-04 10:00:00,"古亭",2974
2023-11-04 10:00:00,"士林",3220
2023-11-04 10:00:00,"大橋頭",1465
2023-11-04 10:00:00,"松山",1716
2023-11-04 11:00:00,"中山",6314
2023-11-04 11:00:00,"北投",2844
2023-11-04 11:00:00,"北門",1773
2023-11-04 11:00:00,"古亭",3196
2023-11-04 11:00:00,"士林",3713
2023-11-04 11:00:00,"大橋頭",1710
2023-11-04 11:00:00,"松山",1947
2023-11-04 12:00:00,"中山",6786
2023-11-04 12:00:00,"北投",2739
2023-11-04 12:00:00,"北門",1865
2023-11-04 12:00:00,"古亭",4164
2023-11-04 12:00:00,"士林",4076
2023-11-04 12:00:00,"大橋頭",1710
2023-11-04 12:00:00,"松山",2070
2023-11-04 13:00:00,"中山",7746
2023-11-04 13:00:00,"北投",2779
2023-11-04 13:00:00,"北門",2103
2023-11-04 13:00:00,"古亭",4185
2023-11-04 13:00:00,"士林",4382
2023-11-04 13:00:00,"大橋頭",1840
2023-11-04 13:00:00,"松山",2283
2023-11-04 14:00:00,"中山",8088
2023-11-04 14:00:00,"北投",2451
2023-11-04 14:00:00,"北門",2306
2023-11-04 14:00:00,"古亭",3542
2023-11-04 14:00:00,"士林",3841
2023-11-04 14:00:00,"大橋頭",1623
2023-11-04 14:00:00,"松山",2257
2023-11-04 15:00:00,"中山",8662
2023-11-04 15:00:00,"北投",2489
2023-11-04 15:00:00,"北門",2170
2023-11-04 15:00:00,"古亭",3590
2023-11-04 15:00:00,"士林",4075
2023-11-04 15:00:00,"大橋頭",1770
2023-11-04 15:00:00,"松山",2520
2023-11-04 16:00:00,"中山",9441
2023-11-04 16:00:00,"北投",2372
2023-11-04 16:00:00,"北門",2465
2023-11-04 16:00:00,"古亭",3673
2023-11-04 16:00:00,"士林",4341
2023-11-04 16:00:00,"大橋頭",1704
2023-11-04 16:00:00,"松山",3826
2023-11-04 17:00:00,"中山",11416
2023-11-04 17:00:00,"北投",2998
2023-11-04 17:00:00,"北門",2766
2023-11-04 17:00:00,"古亭",5062
2023-11-04 17:00:00,"士林",5300
2023-11-04 17:00:00,"大橋頭",2006
2023-11-04 17:00:00,"松山",4482
2023-11-04 18:00:00,"中山",10085
2023-11-04 18:00:00,"北投",2645
2023-11-04 18:00:00,"北門",2411
2023-11-04 18:00:00,"古亭",4193
2023-11-04 18:00:00,"士林",4670
2023-11-04 18:00:00,"大橋頭",1952
2023-11-04 18:00:00,"松山",5087
2023-11-04 19:00:00,"中山",7491
2023-11-04 19:00:00,"北投",1990
2023-11-04 19:00:00,"北門",1733
2023-11-04 19:00:00,"古亭",2771
2023-11-04 19:00:00,"士林",3343
2023-11-04 19:00:00,"大橋頭",1617
2023-11-04 19:00:00,"松山",4494
2023-11-04 20:00:00,"中山",6494
2023-11-04 20:00:00,"北投",1638
2023-11-04 20:00:00,"北門",1444
2023-11-04 20:00:00,"古亭",2571
2023-11-04 20:00:00,"士林",2649
2023-11-04 20:00:00,"大橋頭",1306
2023-11-04 20:00:00,"松山",3536
2023-11-04 21:00:00,"中山",6375
2023-11-04 21:00:00,"北投",1665
2023-11-04 21:00:00,"北門",1278
2023-11-04 21:00:00,"古亭",2427
2023-11-04 21:00:00,"士林",2486
2023-11-04 21:00:00,"大橋頭",1194
2023-11-04 21:00:00,"松山",3468
2023-11-04 22:00:00,"中山",5255
2023-11-04 22:00:00,"北投",1338
2023-11-04 22:00:00,"北門",1193
2023-11-04 22:00:00,"古亭",2094
2023-11-04 22:00:00,"士林",2010
2023-11-04 22:00:00,"大橋頭",991
2023-11-04 22:00:00,"松山",3201
2023-11-04 23:00:00,"中山",1963
2023-11-04 23:00:00,"北投",670
2023-11-04 23:00:00,"北門",503
2023-11-04 23:00:00,"古亭",967
2023-11-04 23:00:00,"士林",1006
2023-11-04 23:00:00,"大橋頭",484
2023-11-04 23:00:00,"松山",1392
NA,"中山",376
NA,"北投",169
NA,"北門",105
NA,"古亭",236
NA,"士林",194
NA,"大橋頭",113
NA,"松山",245
NA,"中山",11
NA,"北投",5
NA,"北門",5
NA,"古亭",5
NA,"士林",4
NA,"大橋頭",2
NA,"松山",0
2023-11-05 05:00:00,"中山",2
2023-11-05 05:00:00,"北投",0
2023-11-05 05:00:00,"北門",0
2023-11-05 05:00:00,"古亭",2
2023-11-05 05:00:00,"士林",8
2023-11-05 05:00:00,"大橋頭",2
2023-11-05 05:00:00,"松山",0
2023-11-05 06:00:00,"中山",351
2023-11-05 06:00:00,"北投",445
2023-11-05 06:00:00,"北門",220
2023-11-05 06:00:00,"古亭",379
2023-11-05 06:00:00,"士林",412
2023-11-05 06:00:00,"大橋頭",354
2023-11-05 06:00:00,"松山",307
2023-11-05 07:00:00,"中山",656
2023-11-05 07:00:00,"北投",860
2023-11-05 07:00:00,"北門",424
2023-11-05 07:00:00,"古亭",833
2023-11-05 07:00:00,"士林",916
2023-11-05 07:00:00,"大橋頭",752
2023-11-05 07:00:00,"松山",765
2023-11-05 08:00:00,"中山",1303
2023-11-05 08:00:00,"北投",1349
2023-11-05 08:00:00,"北門",696
2023-11-05 08:00:00,"古亭",1735
2023-11-05 08:00:00,"士林",1780
2023-11-05 08:00:00,"大橋頭",720
2023-11-05 08:00:00,"松山",1017
2023-11-05 09:00:00,"中山",2272
2023-11-05 09:00:00,"北投",1814
2023-11-05 09:00:00,"北門",999
2023-11-05 09:00:00,"古亭",2295
2023-11-05 09:00:00,"士林",2669
2023-11-05 09:00:00,"大橋頭",966
2023-11-05 09:00:00,"松山",1246
2023-11-05 10:00:00,"中山",3598
2023-11-05 10:00:00,"北投",1928
2023-11-05 10:00:00,"北門",1255
2023-11-05 10:00:00,"古亭",2139
2023-11-05 10:00:00,"士林",2736
2023-11-05 10:00:00,"大橋頭",1077
2023-11-05 10:00:00,"松山",1410
2023-11-05 11:00:00,"中山",5502
2023-11-05 11:00:00,"北投",2274
2023-11-05 11:00:00,"北門",1641
2023-11-05 11:00:00,"古亭",2576
2023-11-05 11:00:00,"士林",3043
2023-11-05 11:00:00,"大橋頭",1402
2023-11-05 11:00:00,"松山",1773
2023-11-05 12:00:00,"中山",5493
2023-11-05 12:00:00,"北投",2213
2023-11-05 12:00:00,"北門",1502
2023-11-05 12:00:00,"古亭",2899
2023-11-05 12:00:00,"士林",3160
2023-11-05 12:00:00,"大橋頭",1377
2023-11-05 12:00:00,"松山",1708
2023-11-05 13:00:00,"中山",6449
2023-11-05 13:00:00,"北投",2282
2023-11-05 13:00:00,"北門",1772
2023-11-05 13:00:00,"古亭",3060
2023-11-05 13:00:00,"士林",3473
2023-11-05 13:00:00,"大橋頭",1359
2023-11-05 13:00:00,"松山",1934
2023-11-05 14:00:00,"中山",7245
2023-11-05 14:00:00,"北投",2365
2023-11-05 14:00:00,"北門",1937
2023-11-05 14:00:00,"古亭",2782
2023-11-05 14:00:00,"士林",3261
2023-11-05 14:00:00,"大橋頭",1391
2023-11-05 14:00:00,"松山",1937
2023-11-05 15:00:00,"中山",7407
2023-11-05 15:00:00,"北投",2285
2023-11-05 15:00:00,"北門",2094
2023-11-05 15:00:00,"古亭",2633
2023-11-05 15:00:00,"士林",3534
2023-11-05 15:00:00,"大橋頭",1265
2023-11-05 15:00:00,"松山",1944
2023-11-05 16:00:00,"中山",8020
2023-11-05 16:00:00,"北投",2646
2023-11-05 16:00:00,"北門",2336
2023-11-05 16:00:00,"古亭",2965
2023-11-05 16:00:00,"士林",3858
2023-11-05 16:00:00,"大橋頭",1446
2023-11-05 16:00:00,"松山",2667
2023-11-05 17:00:00,"中山",9033
2023-11-05 17:00:00,"北投",3167
2023-11-05 17:00:00,"北門",2224
2023-11-05 17:00:00,"古亭",3695
2023-11-05 17:00:00,"士林",4330
2023-11-05 17:00:00,"大橋頭",1695
2023-11-05 17:00:00,"松山",3228
2023-11-05 18:00:00,"中山",7245
2023-11-05 18:00:00,"北投",2507
2023-11-05 18:00:00,"北門",2037
