"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
7907,3166,2215,5438,5234,2109,3546
11454,3982,3051,7557,6048,2765,6525
8172,2557,1789,4760,3850,1648,4604
5596,1760,884,2951,2425,1074,2553
5814,1591,827,3153,2298,1044,2348
4433,1248,605,2342,1875,869,1578
1400,489,234,761,576,359,677
606,181,133,379,236,115,230
27,17,2,7,1,2,0
4,2,0,0,4,0,0
471,860,295,651,825,456,535
2009,3515,1564,3202,4194,2113,2826
5621,3834,3309,6812,4310,2961,6576
3558,2400,1467,4446,3324,1456,3566
3251,1639,1008,2697,2295,1005,1517
3816,1666,983,2538,2329,1003,1244
4337,1609,969,2875,2757,999,1491
4479,1580,1187,3055,2702,976,1504
4669,1517,1071,2737,2702,995,1366
4784,1611,1051,2854,2587,1010,1582
5720,2302,1395,3541,3597,1401,1856
8388,3237,2310,5605,5830,2287,3647
12322,3927,3183,7851,6403,2992,6306
8568,2621,1884,4886,3876,1758,4972
5861,1739,966,2966,2529,1146,2590
5998,1661,897,3268,2422,1185,2461
4894,1356,633,2512,1939,915,1820
1503,510,250,836,671,407,754
1159,400,273,598,404,266,398
45,29,7,10,12,1,0
2,0,2,0,9,0,0
483,883,284,655,821,463,594
1985,3419,1520,3081,3994,2052,2855
5583,3827,3163,6600,4318,2859,6470
3523,2313,1448,4277,3268,1497,3680
3492,1746,1084,2756,2474,1012,1771
4503,1948,1000,2649,2537,1016,1503
5054,1915,1074,3216,2996,1223,1785
5428,1826,1316,3270,2931,1087,1792
5651,1766,1324,3137,2832,1102,1706
6038,1777,1352,3139,3049,1191,1925
7311,2575,1663,3942,4198,1632,2187
10733,3707,2645,6144,6236,2515,4132
15170,4215,3406,7825,6771,3012,6841
10816,2752,2170,5037,4131,2006,5172
7269,1771,1136,3091,2789,1347,2913
7531,1893,1129,3408,2725,1348,2716
7244,2031,966,3140,2495,1190,2406
2860,889,485,1380,1066,684,1183
1166,390,280,641,414,276,504
35,19,3,10,10,4,1
0,0,0,0,6,0,0
362,437,153,444,460,331,353
607,790,372,978,976,849,740
1222,1367,576,2133,1720,807,1050
2262,1753,776,2338,2292,1045,1326
3875,1979,1182,2703,2840,1260,1469
6406,2291,1389,3201,3329,1591,1915
7318,2252,1449,3930,3676,1607,1844
8261,2298,1752,3956,3784,1653,2013
9374,2176,2011,3581,3717,1617,1932
10424,2179,1971,3675,3706,1671,2081
12019,2230,2182,3908,4114,1572,2362
13743,2763,2301,4903,4702,2075,3040
12607,2456,2030,4619,4442,2030,3536
9073,1889,1316,2976,3058,1402,2639
7978,1563,1145,2459,2201,1120,2454
7998,1566,973,2765,2526,1216,2469
7194,1553,1044,2545,2078,1058,2401
3279,907,616,1388,1152,690,1363
638,179,219,355,257,132,265
23,10,2,7,4,2,0
2,3,0,0,5,0,0
336,321,129,412,353,289,236
521,667,240,709,703,649,558
980,1127,390,1352,1272,582,827
1864,1517,640,1901,2189,849,1002
3427,1702,969,2009,2638,977,1147
5876,2135,1256,2640,3155,1287,1556
6110,2024,1220,2855,3194,1307,1603
6894,2064,1451,2920,3415,1418,1727
8268,2104,1487,2817,3523,1435,1674
9698,2059,1754,2923,3603,1381,1854
10247,2251,1902,3060,3805,1571,2250
11128,2564,2003,3713,4072,1576,2758
9581,2235,1646,3188,3460,1580,2805
7225,1633,1155,2489,2449,1233,2279
6648,1527,931,2076,2125,1038,2257
6320,1352,774,2053,1914,993,2082
4754,1143,608,1759,1384,977,1450
1671,535,321,872,713,477,787
452,151,101,269,188,105,214
21,10,1,6,2,2,0
2,0,0,0,4,0,0
457,842,279,648,903,444,564
1891,3445,1533,3029,4218,2124,2743
5488,3690,3108,6301,4126,2916,6430
3390,2099,1440,3792,2981,1530,3325
3086,1658,1012,2305,2229,973,1504
3966,1768,991,2353,2240,969,1396
4249,1741,957,2497,2532,1046,1546
4235,1638,1117,2695,2436,980,1524
4682,1518,1134,2683,2462,871,1503
4855,1711,1212,2661,2529,1067,1529
5411,2335,1367,3176,3570,1363,1890
7523,3081,2153,5222,5350,2180,3482
10505,3876,2996,7095,5806,2884,6268
7092,2512,1783,4383,3533,1701,4685
4834,1660,902,2772,2351,1057,2645
5059,1511,732,2615,2164,950,2056
3863,1165,565,1938,1508,758,1610
1172,430,218,685,536,301,772
465,153,101,303,201,118,224
26,18,6,4,5,2,3
2,4,0,0,7,0,0
450,913,295,652,832,432,528
1909,3512,1532,3146,4211,2164,2794
5710,3888,3361,6683,4257,2958,6617
3718,2340,1454,4123,3339,1477,3603
3187,1873,991,2596,2449,1018,1507
4066,1789,898,2461,2452,963,1306
4273,1691,980,2560,2834,945,1552
4385,1723,1103,2847,2729,1011,1560
4684,1559,1041,2728,2619,1010,1468
4781,1640,1139,2628,2681,1038,1605
5351,2353,1346,3435,3693,1332,1953
7849,3256,2335,5422,5513,2258,3606
11029,3924,3130,7449,5912,2887,6402
7424,2588,1745,4594,3586,1730,4904
5113,1761,934,2924,2378,1058,2665
5336,1531,808,2950,2267,1022,2238
4090,1228,536,2122,1642,751,1637
1346,477,256,754,535,324,693
488,192,98,330,209,129,203
18,9,1,5,3,1,1
2,0,0,0,5,0,0
460,851,281,642,809,490,518
1937,3455,1592,3091,4125,2152,2800
5688,3892,3169,6680,4267,2970,6569
3575,2246,1478,4059,3119,1534,3645
3090,1723,929,2491,2278,1009,1519
3861,1773,925,2472,2304,957,1360
4359,1759,975,2737,2704,1061,1545
4572,1643,1168,3004,2557,987,1516
4775,1571,1131,2745,2506,929,1484
4889,1536,1118,2779,2614,1149,1562
5770,2291,1400,3561,3591,1348,2070
8150,3100,2264,5447,5482,2129,3580
11456,3999,3092,7417,5864,2769,6429
8083,2530,1803,4725,3638,1708,5036
5269,1715,946,2874,2319,1130,2730
5815,1617,853,3134,2269,1059,2312
4466,1304,634,2247,1818,790,1599
1350,459,302,783,555,384,716
602,171,129,377,233,163,246
28,18,1,10,4,0,1
2,0,0,0,6,2,2
476,845,305,682,853,432,549
2002,3574,1598,3301,4059,2195,2752
5925,3768,3320,6868,4394,3118,6509
3645,2224,1568,4154,3264,1651,3679
3381,1577,1049,2595,2293,1028,1581
4120,1748,992,2647,2432,1049,1351
4461,1592,1070,2770,2797,1037,1634
4716,1485,1151,2827,2525,1019,1471
4990,1521,1085,2808,2677,967,1488
5090,1568,1114,2733,2742,1129,1664
6088,2361,1480,3627,3619,1444,1920
8460,3160,2327,5711,5653,2235,3461
11812,3887,3171,7647,6046,3021,6363
8352,2573,1870,4879,3703,1849,4833
5706,1675,1075,3073,2441,1267,2613
6049,1605,980,3248,2355,1222,2371
4779,1257,693,2523,1849,843,1761
1533,568,276,803,606,436,723
1112,370,263,583,381,265,450
59,30,7,21,14,5,0
2,0,0,0,11,0,0
443,851,254,630,821,407,539
1897,3466,1585,2974,3995,2142,2719
5473,3599,3000,6314,4114,2803,6314
3437,2267,1415,3684,3098,1484,3394
3690,1719,1121,2633,2358,971,1693
4634,1971,1027,2601,2520,1074,1523
5330,1957,1164,2944,2893,1140,1754
5432,1922,1355,3219,3062,1355,1847
5949,1889,1311,3135,2966,1143,1702
6361,1826,1335,3140,3150,1316,1901
7385,2769,1824,3956,4537,1649,2376
10604,3671,2497,5669,6303,2477,4137
13539,4068,3184,7578,6384,3112,6556
9711,2594,2060,4937,4066,1955,5145
6855,1897,1184,2906,2657,1319,2917
6901,1698,1083,3184,2559,1365,2716
6416,1624,962,2754,2189,1137,2374
2600,861,368,1150,931,612,1124
1955,511,606,937,726,452,1628
2462,1174,847,1514,1299,766,2685
2,0,0,0,8,0,0
374,417,143,429,416,353,268
498,725,297,772,749,731,643
1108,1199,528,1497,1489,671,856
1926,1570,654,1993,2057,943,1070
3415,1890,1029,2381,2455,1197,1288
5696,2366,1317,2968,2975,1544,1685
6050,2081,1350,3066,3134,1478,1691
6887,2067,1758,3364,3197,1587,1694
8237,2099,1932,3162,3465,1565,1904
9359,2271,1921,3138,3470,1592,2112
10314,2120,2005,3402,3512,1722,2445
11649,2681,2306,4057,4316,2081,3173
10611,2325,1864,3726,3888,1928,3422
8575,1798,1490,2771,2897,1425,3169
7546,1303,1192,2203,2315,1096,2932
7255,1507,1032,2210,2218,1186,3189
6577,1343,951,2054,2022,966,3220
3406,757,591,1297,1102,659,2164
643,226,167,355,302,157,403
22,15,4,9,12,1,3
1313,722,568,925,859,548,1149
814,405,360,599,425,237,446
504,216,160,349,269,160,175
389,202,137,288,203,85,170
482,351,171,581,502,306,303
551,672,273,682,765,552,566
861,907,424,1019,1139,493,617
1434,1286,601,1321,1613,706,852
2597,1503,849,1624,2145,860,1022
4659,1945,1228,2106,3070,1210,1459
5150,1944,1309,2023,3051,1233,1563
6006,1771,1593,2319,3338,1325,1649
6869,1991,2012,2223,3642,1513,1682
7781,1927,2006,2243,3358,1583,1886
8282,1990,1970,2504,3292,1523,2175
9247,2263,1849,2945,3757,1616,3023
8528,2026,1770,2600,3491,1544,3391
6768,1602,1264,2055,2584,1303,3089
5606,1414,1052,1804,2119,1135,2662
5140,1301,813,1750,1825,910,2378
4501,974,661,1383,1318,774,2307
1590,569,340,740,712,500,1221
400,138,109,271,201,111,226
16,9,5,7,7,1,2
0,0,0,0,5,0,0
278,281,101,279,304,174,239
476,495,221,542,706,564,521
768,706,400,840,1072,421,644
1466,952,509,1116,1352,591,790
2727,1192,816,1461,1861,805,977
4664,1699,1132,2058,2310,1082,1418
4654,1617,1079,1954,2257,1027,1342
5207,1582,1300,2328,2491,1104,1485
6152,1801,1484,2354,2623,1204,1553
6822,1665,1495,2367,2664,1321,1635
7027,1839,1514,2407,2795,1238,1975
8545,2057,1646,3058,3080,1468,2569
6985,1751,1410,2793,2769,1446,2492
5167,1402,948,2068,1928,1021,1937
4784,1196,701,1871,1702,939,1788
4359,1180,635,1742,1643,1004,1645
3281,905,542,1285,1176,788,1514
1003,452,211,623,519,375,669
368,142,96,296,203,104,193
15,10,1,2,4,0,0
2,0,0,0,3,2,0
487,899,292,655,877,465,553
2008,3372,1610,3084,3845,2112,2837
5815,3724,3301,6862,4232,2935,6749
3686,2178,1470,4127,2811,1488,3690
3106,1610,884,2504,2050,1015,1497
3575,1625,830,2359,2103,1107,1338
3755,1544,928,2479,2286,1087,1409
4016,1493,1048,2754,2378,1044,1404
4139,1515,1034,2525,2209,975,1321
4232,1439,1037,2681,2298,1202,1428
4508,2108,1336,3309,3144,1218,1859
6756,2824,2119,5107,4836,2085,3366
9942,3750,3102,7416,5599,2676,6305
7063,2611,1940,4873,3541,1661,5074
4865,1639,969,3005,2430,1000,2567
4783,1513,791,2718,2132,1005,2221
3395,1145,507,2017,1458,697,1467
986,405,210,669,501,293,602
462,180,115,332,186,127,246
19,15,3,11,5,2,0
2,2,0,0,11,0,0
467,873,274,638,840,388,555
2040,3375,1587,3132,3736,2032,2893
5949,3789,3322,7029,4260,2953,7036
3585,2182,1499,4194,2997,1495,3622
3150,1495,972,2488,2081,977,1466
3587,1633,872,2430,2305,1178,1330
3958,1629,939,2656,2391,1155,1476
4039,1587,1087,2908,2485,1021,1602
4228,1371,1016,2685,2329,928,1376
4296,1502,976,2606,2288,1108,1461
4884,2121,1297,3425,3226,1172,1773
7288,2973,2129,5197,4956,2092,3407
10357,3824,2995,7214,5607,2687,6372
7683,2659,1844,4786,3539,1774,5029
5074,1618,977,2920,2413,1104,2632
5331,1569,838,2895,2320,1057,2299
4082,1295,665,2189,1582,777,1639
1223,459,233,718,543,350,685
501,172,120,337,238,122,236
20,16,2,3,9,5,1
2,0,0,0,6,0,0
441,907,321,640,830,470,574
2023,3381,1571,3006,3790,2068,2662
5849,3839,3322,6958,4293,3012,6662
3702,2211,1481,4317,2818,1499,3774
3192,1684,1015,2471,2162,1040,1493
3897,1701,923,2367,2237,1139,1326
3962,1558,1010,2684,2334,1087,1492
4051,1514,1091,2676,2475,1022,1479
4257,1593,1154,2597,2452,966,1336
4544,1584,1167,2571,2347,1153,1435
5259,2209,1363,3343,3370,1233,1871
7802,3120,2259,5313,4965,2146,3403
10931,3833,3066,7683,5543,2770,6449
7803,2544,1908,4864,3534,1781,4904
5651,1792,1078,3083,2400,1132,2712
5680,1596,978,3161,2363,1196,2383
4216,1257,635,2260,1776,810,1635
1298,500,263,766,568,365,652
740,271,156,412,307,194,312
16,20,8,8,8,3,1
2,2,0,0,5,0,2
466,834,283,623,799,456,550
1944,3391,1567,3023,3724,2058,2848
5976,4024,3448,6960,4317,2968,6879
3691,2278,1535,4263,2722,1546,3727
3385,1652,982,2624,2070,1054,1525
4088,1738,964,2555,2163,901,1440
4341,1695,1204,2852,2306,1080,1622
4575,1993,1306,2862,2541,1138,1676
4814,1722,1251,2834,2347,1013,1539
5154,1595,1312,2754,2358,1139,1733
5792,2302,1561,3408,3591,1586,1941
8467,3174,2334,5455,4946,2243,3637
12290,3980,3423,7625,5602,2802,6574
8584,2608,2038,5001,3748,1897,4940
5908,1718,1134,2980,2402,1320,2629
6089,1776,1078,3169,2441,1338,2573
5869,1545,871,2653,2054,999,2424
2124,658,405,1022,746,506,978
1011,289,265,470,336,238,435
40,19,12,12,6,2,0
0,0,0,0,6,2,0
425,732,259,543,685,406,462
1589,2899,1318,2455,3064,1808,2144
4491,3188,2591,5272,3424,2376,4625
2938,1933,1179,3056,2443,1316,2284
3543,1756,1176,2515,2318,1194,1485
5081,1873,1390,2678,2590,1368,1561
5383,1819,1436,2782,2651,1459,1679
5874,1741,1821,2943,2911,1536,1709
6091,1689,1853,2890,2767,1580,1653
7194,1755,1973,2735,2673,1628,1923
7878,2828,2361,3629,3875,1971,2372
10826,3364,2804,5256,5407,2481,3841
13305,3603,3302,6199,5587,2854,5731
8295,2225,1895,3484,3179,1794,3829
6313,1609,1209,2355,2254,1204,2373
6411,1534,1085,2478,2117,1245,2476
6369,1307,985,2220,1885,961,2458
2439,688,463,1049,885,597,1100
444,187,184,261,206,132,233
16,15,6,5,5,1,0
0,1,0,0,5,0,0
370,331,149,345,374,330,261
487,686,288,697,767,734,569
1023,1279,531,1411,1466,731,931
1879,1617,729,2099,2114,970,1153
3242,1632,1199,2094,2405,1118,1254
5309,2067,1400,2563,2823,1480,1622
5231,1991,1606,2645,2745,1559,1722
5744,1938,1891,2770,3111,1657,1772
6970,1929,2246,2728,3315,1661,1810
7361,1894,2171,2720,3235,1787,1981
7813,2073,2239,2853,3252,1761,2117
9184,2413,2082,3523,3980,1887,2701
7771,1975,1929,2920,3272,1745,2800
5926,1604,1269,2016,2333,1311,2095
4923,1322,1064,1793,1846,1121,1853
4941,1225,872,1789,1804,934,1971
3718,1008,657,1292,1279,685,1650
1174,463,283,602,573,370,742
466,160,88,275,197,99,184
17,7,5,4,3,0,0
0,0,0,0,4,0,0
483,880,269,652,870,604,569
1959,3320,1528,2963,3757,2177,2741
5800,3713,3209,6651,4128,2847,6754
3556,2021,1425,3858,2575,1445,3519
2888,1520,963,2304,2020,1013,1509
3733,1590,1015,2285,1964,966,1453
3861,1462,1086,2464,2315,984,1448
4044,1333,1220,2527,2311,1050,1461
4371,1436,1300,2525,2274,1039,1424
4638,1459,1278,2618,2294,1093,1571
5075,2179,1588,3196,3288,1437,1891
7075,2843,2147,5149,4453,2128,3394
10070,3788,3134,7103,5203,2844,6209
7340,2514,1893,4383,3317,1813,4709
4892,1493,1082,2733,2065,1091,2458
5350,1497,929,2803,2121,1079,2112
3649,1085,628,2024,1485,769,1511
1033,405,228,636,499,304,628
513,163,114,290,209,115,203
18,7,6,6,5,1,2
0,0,0,0,4,0,0
466,872,307,638,824,415,536
2023,3336,1595,3066,3619,2016,2747
5925,3759,3288,6855,4315,2921,6789
3709,2260,1603,4259,2774,1538,3645
3139,1582,1113,2612,2165,1026,1527
3808,1572,1029,2425,2266,1078,1342
4071,1504,1129,2626,2309,1026,1510
4286,1472,1297,2733,2470,1124,1498
4629,1419,1290,2694,2262,1033,1378
4665,1455,1288,2730,2339,1183,1395
5493,2328,1681,3396,3372,1458,1908
7737,2901,2612,5259,4866,2279,3534
10742,3715,3293,7416,5269,3038,6490
7622,2460,1994,4751,3354,1765,4980
5010,1627,1149,2980,2165,1202,2495
5289,1518,1076,2860,2179,1119,2175
4116,1186,685,2094,1545,786,1727
1250,441,246,664,509,347,654
523,191,115,313,268,125,268
23,7,7,11,4,1,0
0,3,0,0,7,0,0
453,846,306,623,781,420,528
2029,3264,1580,3097,3734,2092,2879
5783,3721,3294,7069,4103,2959,6870
3752,2134,1529,4312,2757,1554,3603
3075,1627,1026,2538,2169,1089,1631
3801,1610,1156,2570,2317,1071,1367
4191,1559,1071,2759,2427,1086,1625
4368,1551,1310,2821,2555,1150,1540
4776,1409,1283,2688,2428,1085,1407
4792,1535,1400,2793,2474,1353,1648
5474,2170,1524,3507,3430,1438,2021
7839,2985,2412,5211,4760,2228,3578
11345,3775,3295,7530,5361,2707,6569
7737,2553,1899,4592,3453,1667,4691
5282,1595,1083,2868,2094,1258,2580
5757,1596,1032,2947,2157,1128,2373
4371,1265,737,2182,1616,827,1783
1345,536,305,767,614,358,745
560,160,120,322,270,141,214
17,10,17,5,2,2,0
2,2,0,0,5,0,0
411,868,291,636,801,431,532
2028,3291,1578,3015,3530,2144,2769
5836,3753,3216,6627,4256,2956,6813
3643,2229,1498,4086,2821,1549,3550
3252,1673,1110,2494,2381,1154,1690
4094,1694,1146,2592,2409,1193,1360
4395,1649,1237,2788,2650,1171,1627
4706,1541,1321,2922,2854,1129,1527
4860,1522,1419,2978,2949,1191,1547
5403,1655,1397,2910,3023,1399,1720
5961,2288,1658,3404,3602,1506,2021
8205,3056,2417,5187,4757,2125,3581
11534,3804,3348,7423,5193,2872,6508
8017,2566,1969,4674,3530,1817,4697
5552,1628,1191,2901,2225,1175,2496
5842,1611,1025,3187,2322,1144,2407
4631,1319,767,2257,1750,871,1795
1552,521,306,793,627,359,715
1027,276,223,461,345,264,374
49,24,6,8,10,6,1
2,0,0,0,9,0,0
455,831,299,673,765,411,534
1967,3186,1580,2924,3382,2145,2735
5910,3791,3244,6735,4795,2882,6625
3622,2079,1563,4015,3039,1533,3594
3392,1742,1155,2507,2377,1149,1615
4535,1742,1160,2665,2598,1216,1465
4738,1588,1202,2947,2617,1232,1682
5082,1674,1619,3091,2796,1371,1584
5314,1557,1502,2977,2740,1216,1531
5827,1691,1678,3207,3916,1526,1819
6463,2399,1998,3578,3791,1639,2235
9464,3171,2865,5463,4947,2239,3715
13439,4057,3623,7438,5872,3048,6849
9356,2636,2232,4726,3755,1941,5075
6329,1649,1400,2925,2484,1320,2754
6724,1653,1338,3245,2468,1512,2626
6515,1564,1042,2588,2146,1142,2322
2578,788,512,1140,869,652,1040
867,300,259,448,381,189,347
28,16,5,8,3,0,0
0,0,0,0,5,0,0
344,390,145,419,475,344,286
623,895,393,1013,1151,894,712
1383,1667,626,2322,2250,908,1308
2408,1847,861,2734,2528,1141,1339
3862,2075,1303,2838,2969,1420,1610
6115,2255,1691,3209,3285,1825,1982
6430,2101,1877,3601,3466,1811,1844
7276,2138,2165,3879,3794,2106,1988
7962,2134,2659,3460,3646,2089,2069
8825,2090,2702,3516,3414,2167,2218
9072,2043,2901,3486,3715,2156,2372
11263,2699,2997,4762,5045,2501,3393
10052,2269,2424,3966,4110,2288,3145
7522,1700,1789,2756,2822,1693,2585
6523,1379,1300,2341,2138,1348,2243
6751,1414,1203,2515,2099,1102,2362
5774,1286,1106,1952,1663,1013,2076
2376,690,748,1055,898,633,1398
501,153,184,308,182,122,170
23,15,7,6,10,0,1
0,2,0,2,9,0,0
284,284,154,330,327,226,246
466,606,226,652,866,668,475
939,1079,538,1480,1557,682,818
1855,1438,663,1923,1846,930,1008
3348,1560,1044,2170,2311,1107,1234
5542,1949,1456,2574,2638,1487,1587
5354,1788,1455,2592,2574,1472,1709
6128,1748,1937,2836,2751,1709,1706
7521,1767,2378,2885,2974,1767,1758
8415,1814,2361,3112,3528,1904,2000
8346,1807,2311,2928,2964,1874,1891
9519,2260,2444,3426,3343,1953,2542
8067,1814,1879,2755,2865,1989,2292
6367,1432,1244,2044,2038,1305,2022
5391,1326,1060,1797,1671,1163,1809
5408,1212,875,1927,1515,990,1720
3833,908,610,1345,1120,756,1201
1254,491,465,652,541,359,607
574,168,101,247,217,132,237
28,10,10,5,6,0,0
2,0,0,0,6,0,0
459,851,283,621,870,427,561
1899,3271,1525,2931,3728,1918,2717
5840,3743,3297,6663,4078,2863,6751
3592,2090,1465,3832,2566,1477,3525
3118,1570,1127,2440,2000,1062,1603
4033,1656,1109,2434,2148,1020,1392
4391,1509,1143,2661,2145,1047,1483
4697,1485,1373,2795,2322,1070,1533
5000,1462,1358,2662,2228,1140,1515
5086,1508,1429,2798,2152,1212,1549
5714,2420,1814,3287,3180,1584,2024
8101,2760,2478,5193,4638,2242,3479
11094,3577,3318,7103,4770,2829,6243
8006,2444,2041,4684,3235,1874,4852
5411,1618,1151,2809,2129,1230,2534
5499,1364,962,2755,1980,1092,2161
4260,1075,698,1872,1447,778,1589
1366,495,255,736,527,395,667
535,207,120,355,237,137,226
32,12,4,6,2,3,2
2,2,0,0,8,0,0
428,880,294,607,826,401,527
1901,3375,1563,3037,3699,1904,2791
5846,3682,3284,6713,4165,2946,6834
3601,2279,1553,4079,2833,1605,3411
3226,1771,1108,2663,2235,1077,1602
4079,1699,1126,2561,2361,1193,1431
4582,1546,1201,2790,2382,1175,1615
4899,1625,1486,2907,2545,1176,1610
5328,1553,1452,2873,2429,1215,1491
5404,1890,1452,2918,2572,1534,1555
6108,2420,1864,3616,3592,1713,2013
8447,2962,2455,5436,5150,2316,3649
12079,3671,3465,7382,4962,2909,6268
8494,2555,2191,4881,3489,1865,4628
5863,1644,1193,2876,2168,1205,2627
6126,1531,933,2949,1926,1036,2090
4578,1181,776,2071,1515,852,1691
1508,507,291,816,570,401,658
662,202,188,362,264,176,261
27,15,10,5,4,2,0
2,2,0,0,6,0,0
437,879,267,591,756,367,550
1833,3268,1587,2865,3699,1906,2651
5711,3626,3257,6473,4176,2899,6693
3485,2117,1432,4092,2646,1485,3414
3393,1785,1117,2687,2249,1171,1559
4176,1854,1061,2618,2481,1285,1395
4818,1763,1207,2946,2439,1507,1669
5025,1676,1563,2901,2649,1327,1734
5545,1608,1415,2873,2449,1285,1551
5603,1460,1562,3006,2484,1300,1731
6528,2334,1897,3596,3342,1519,2167
9094,3216,2588,5390,5047,2209,3654
12625,3700,3462,7391,5283,2884,6165
8698,2534,2131,4696,3535,1860,4761
6030,1576,1195,2988,2293,1260,2638
6279,1482,1073,2771,2028,1167,2109
5102,1318,829,2052,1597,931,1765
1664,566,327,829,624,455,825
752,233,221,363,322,221,304
46,30,7,5,7,6,1
2,2,0,0,11,0,0
452,788,262,567,788,379,494
1760,3102,1462,2653,3573,1771,2494
5420,3557,3033,5808,3836,2702,6209
3271,2411,1363,3669,2882,1614,3103
4136,2489,1237,2996,3059,1272,1665
4871,2382,1209,3020,3272,1578,1496
5699,2135,1385,3386,3350,1344,1938
5931,1902,1810,3335,3164,1482,1750
6673,1993,1753,3199,3093,1462,1767
7226,1951,2045,3378,3000,1577,2355
8485,2542,2376,3764,3295,1885,3109
10957,2836,3173,4996,4611,2367,4130
13037,3041,3349,5967,5035,2820,5389
8527,2255,2022,3576,3116,1750,3744
6103,1487,1262,2420,2160,1287,2163
5843,1374,1095,2367,1918,1207,2009
5187,1116,891,1797,1458,862,1625
1843,592,423,820,696,547,828
401,198,131,293,222,123,266
18,18,1,5,3,2,0
2,0,0,0,3,0,0
284,340,142,362,346,213,234
461,715,316,633,743,451,458
782,1083,434,1050,1186,539,699
1504,1416,563,1415,1459,735,828
2653,1664,967,1899,1985,959,962
4175,1937,1223,2186,2151,1201,1138
4259,1715,1249,2061,2259,1107,1182
4647,1534,1594,2117,2266,1307,1288
5894,1591,2006,2401,2380,1483,1444
6150,1635,1990,2391,2464,1630,1420
6519,1549,2134,2350,2616,1614,1541
7049,1646,2130,2481,2626,1702,1888
6370,1599,1650,2309,2447,1508,1913
4764,1084,1219,1705,1706,1142,1694
4082,1093,983,1490,1519,927,1423
3828,884,873,1316,1241,775,1308
3141,738,571,1028,854,625,1058
1327,489,361,502,480,347,606
254,190,89,225,174,133,233
5,6,2,2,7,7,0
0,0,0,0,5,0,0
251,297,90,264,272,145,191
333,480,172,405,416,246,298
573,660,219,637,613,306,419
817,809,309,828,829,424,457
1419,1044,445,1132,1207,558,639
1830,1072,541,1216,1158,568,675
1754,851,565,1099,1202,593,541
1994,836,604,1025,1191,649,651
2546,941,729,1195,1342,688,859
2508,1071,784,1304,1448,778,820
2738,1223,744,1438,1651,782,1030
2644,1107,727,1418,1403,777,1077
2444,821,609,1122,1063,633,1010
1398,550,340,770,835,440,964
1086,582,290,828,651,459,922
1068,749,401,998,854,541,952
1016,678,334,875,769,527,930
622,467,175,480,451,255,497
270,150,60,177,156,94,245
8,6,2,6,2,1,0
0,0,0,0,4,0,0
223,231,79,194,227,258,185
286,358,120,304,391,545,360
460,543,229,393,654,313,569
798,847,317,794,1437,429,1009
1825,1185,633,1250,2330,606,1559
2694,1554,894,1576,2835,917,2101
2998,1569,994,1396,3266,902,2216
3790,1682,1234,1617,4036,1018,2524
4943,1991,1502,1865,4793,1301,2590
5387,2133,1671,1790,4934,1348,2872
5703,2080,1581,1646,4336,1116,2896
5749,2001,1335,1764,3926,1134,3074
4804,1722,1249,1561,3083,1044,3221
3682,1319,895,1063,1893,845,2869
3081,1045,561,1074,1384,690,2209
2826,827,477,1045,1280,636,1942
2102,678,345,778,741,543,1431
817,372,159,397,355,286,743
289,151,95,216,157,102,268
6,7,6,3,4,1,0
0,2,0,0,2,0,0
234,247,113,191,234,209,200
334,353,153,253,410,433,295
447,537,240,402,685,268,478
865,859,424,718,1604,464,766
2045,1511,752,1238,2638,817,1209
3150,2064,959,1685,3308,1168,1772
3097,1586,939,1316,2880,848,1314
3359,1420,1125,1317,3235,961,1464
4225,1797,1429,1485,3486,1048,1868
4914,1697,1458,1723,3421,1118,1996
5232,1805,1391,1546,3366,1225,2181
5251,1664,1194,1696,3074,1015,2547
4358,1312,1038,1433,2175,874,2397
3767,1094,771,1219,1564,834,2406
3122,978,657,1105,1395,691,2118
2966,935,553,1087,1251,667,1754
2403,751,406,805,822,581,1386
890,416,201,445,464,335,759
386,179,119,211,202,194,253
13,6,3,1,1,7,2
0,2,2,0,1,0,0
260,256,116,211,262,267,233
323,355,144,299,413,616,331
556,491,198,369,649,316,454
962,706,456,710,1399,384,630
2110,1095,716,1079,2117,642,918
3670,1568,948,1424,2654,969,1267
3600,1255,944,1310,2331,856,1306
4131,1268,1204,1401,2884,903,1449
5037,1404,1585,1505,2901,1045,1726
5586,1384,1416,1542,2851,1060,1782
5940,1409,1504,1536,2874,1088,1988
6445,1705,1465,1718,2908,1076,2532
5691,1379,1174,1503,2585,1018,2837
4683,1133,950,1257,1854,827,2844
4067,980,642,1159,1514,812,2433
3679,923,616,1081,1247,687,2266
3075,744,508,861,872,715,1589
1167,449,226,448,449,397,926
460,196,133,251,234,197,355
12,11,5,7,3,3,0
0,0,0,0,4,0,0
244,248,117,276,229,231,226
352,400,172,350,411,487,354
624,610,320,465,762,306,467
1125,910,493,728,1598,466,717
2402,1355,828,1132,2695,670,1081
4457,2026,1225,1686,3399,1011,1537
4252,1723,1224,1322,3129,1105,1379
4803,1662,1476,1694,3882,1160,1728
5879,1993,1761,1818,4306,1318,1965
6708,1948,1740,1836,4232,1340,2150
6976,1878,1923,1893,4128,1347,2564
7613,2070,1779,2063,3844,1370,3050
7013,1831,1519,1870,3251,1431,3457
5553,1442,1092,1550,2205,1016,3252
4887,1232,950,1324,1757,876,2935
