"mrt_flow.中山","mrt_flow.北投","mrt_flow.北門","mrt_flow.古亭","mrt_flow.士林","mrt_flow.大橋頭","mrt_flow.松山"
2585,982,566,1829,1438,694,935
2870,974,559,2028,1558,773,1061
2913,987,742,2038,1505,732,1020
3120,931,667,1898,1385,689,963
5006,2116,1598,4191,3448,1613,2337
7850,2870,2313,6038,3945,2068,4721
5418,1870,1331,3682,2599,1319,3334
3781,1152,641,2098,1546,809,1774
3504,1013,477,2025,1414,716,1228
2637,799,372,1592,1056,544,1073
772,309,122,535,376,276,398
376,108,68,240,146,96,135
18,14,3,10,4,0,1
0,0,0,0,6,0,0
427,789,228,596,789,408,521
1641,2581,1283,2653,2892,1595,2298
4658,2887,2628,5406,3155,2359,5197
2762,1426,1071,3043,1795,1155,2656
2370,1036,641,1850,1377,788,1044
2647,1029,541,1683,1329,643,854
2801,1048,659,1886,1392,625,993
3104,1032,712,2066,1508,767,1020
3048,932,673,1835,1445,675,948
3077,1006,655,1913,1506,724,998
3723,1516,885,2393,2169,985,1354
5319,2198,1651,4212,3495,1665,2581
8009,2934,2367,5974,4019,2200,4669
5469,1962,1361,3572,2590,1272,3500
3513,1121,706,2133,1551,837,1578
3464,973,522,2019,1417,719,1244
2776,787,407,1602,1086,577,981
857,325,154,578,390,258,399
588,194,94,362,227,158,225
38,13,5,11,7,1,1
0,0,0,0,9,0,0
458,781,232,598,758,390,491
1583,2523,1321,2647,2841,1526,2240
4529,2959,2494,5177,3246,2297,5027
2843,1599,1056,2886,1917,1119,2519
2397,1242,651,1827,1525,766,1049
2787,1190,614,1825,1554,723,993
3371,1221,718,2086,1655,833,1177
3564,1151,840,2193,1808,736,1193
3573,1114,746,2046,1659,763,1017
3717,1175,798,2054,1679,709,1214
4265,1709,980,2587,2466,990,1466
6187,2405,1636,4262,3798,1717,2574
9355,3105,2448,5852,4393,2147,4815
6795,2003,1412,3649,2920,1420,3508
4359,1315,842,2160,1724,952,1832
4123,1140,623,2118,1629,879,1551
3874,1025,526,1826,1373,682,1286
1389,467,257,745,577,404,578
488,174,132,302,214,133,202
14,21,4,9,6,5,1
0,0,0,2,6,0,2
287,403,121,349,387,274,280
486,789,268,856,824,501,580
934,1141,438,1570,1340,566,840
1672,1405,521,1988,1821,775,973
2473,1442,586,1851,1842,877,986
3642,1527,699,2145,2019,941,1117
4108,1457,753,2419,2227,1030,1199
4858,1470,1019,2450,2392,1029,1321
5110,1367,1008,2289,2368,1003,1219
5419,1310,980,2308,2123,926,1236
5719,1356,1100,2346,2147,944,1402
6737,1706,1265,2674,2766,1178,1849
6222,1485,1001,2557,2624,1154,1838
4759,1167,898,1866,1954,924,1590
3893,979,672,1443,1451,799,1294
3944,905,618,1589,1547,674,1307
3508,891,540,1308,1148,636,1132
1255,491,245,689,564,343,689
301,105,62,202,171,90,116
303,302,96,292,325,227,204
381,615,214,532,602,463,455
706,832,337,1250,1050,452,574
1288,1042,391,1410,1289,618,839
2090,1189,498,1287,1484,676,768
3127,1259,588,1579,1493,743,835
3572,1267,638,2110,1746,781,1164
3966,1110,731,1788,1971,838,1042
4337,1121,840,1727,1884,783,990
4542,1094,839,1652,1869,749,1110
4802,1193,919,1829,1948,806,1225
5262,1353,846,2077,2185,928,1397
4481,1230,885,1882,1858,927,1469
3758,1132,667,1538,1616,865,1228
3327,930,536,1265,1200,766,1112
3340,838,486,1260,1209,774,1072
2286,689,329,932,842,620,879
792,314,144,440,367,298,465
283,107,58,192,131,79,155
12,4,1,3,0,0,0
0,2,0,2,5,0,0
438,845,215,605,864,444,520
1674,2664,1324,2700,2812,1698,2313
4680,2949,2523,5369,3105,2293,5362
2722,1559,1029,2852,1863,1017,2568
2189,1195,607,1772,1441,683,1125
2515,1047,559,1664,1386,645,917
2819,1017,617,1803,1542,705,1001
